,dateTimeISO,seaSurfaceTemperatureC,seaCurrentSpeedMPS,seaCurrentDir,seaCurrentDirDEG,significantWaveHeightM,primaryWaveDir,primaryWaveDirDEG,primaryWavePeriod,tidesM,surgeM,windWaveDir,windWaveDirDEG,windWavePeriod,latitude,longitude
0,2024-10-13 03:00:00+00:00,29.79,0.1044,SSW,197,0.37,ESE,122,13.6,1.06,0.0,SW,226,3.0,9.09,-79.602
1,2024-10-13 03:00:00+00:00,29.88,0.5224,W,265,0.11,W,280,2.0,0.42,0.03,W,276,2.0,1.264,103.84
2,2024-10-13 03:00:00+00:00,26.8,0.0,,,0.17,SE,126,2.0,-0.04,0.05,S,171,2.0,30.585,32.265
3,2024-10-13 03:00:00+00:00,29.89,0.5604,W,268,0.11,W,279,2.0,0.42,0.03,W,275,2.0,1.265,103.828
4,2024-10-13 03:00:00+00:00,17.76,0.0539,WSW,248,0.95,W,269,10.0,-0.19,0.06,ESE,110,3.0,36.141,-5.354
5,2024-10-13 03:00:00+00:00,15.78,0.05,E,90,0.94,W,267,5.0,-1.6,0.48,W,268,5.0,51.125,1.36
6,2024-10-13 03:00:00+00:00,14.93,0.1077,ESE,112,0.79,SW,227,11.22,-0.55,0.02,WNW,293,4.0,50.906,-1.552
7,2024-10-13 03:00:00+00:00,31.2,0.3253,NW,315,0.26,NW,324,5.0,0.02,0.04,WSW,255,3.0,22.0,38.0
8,2024-10-13 03:00:00+00:00,23.4,0.1414,NW,315,2.76,SW,218,13.94,-0.08,0.0,SE,126,7.0,-20.0,80.0
9,2024-10-13 03:00:00+00:00,30.89,0.1,E,89,0.75,N,6,8.0,-0.22,0.04,ESE,114,3.0,10.0,115.0
10,2024-10-13 03:00:00+00:00,13.14,0.2236,SSE,153,2.58,NNW,343,13.0,0.06,0.0,NW,317,11.98,56.0,4.0
11,2024-10-13 03:00:00+00:00,26.75,0.1562,NE,50,2.75,W,278,12.0,-0.13,0.0,WSW,251,11.0,30.0,-40.0
12,2024-10-13 03:00:00+00:00,3.39,0.6083,S,171,4.43,NNE,15,9.0,0.15,0.0,N,6,9.0,65.0,-169.0
13,2024-10-13 03:00:00+00:00,31.19,0.2247,SSE,148,0.31,E,89,4.0,0.49,0.0,E,90,4.0,12.0,45.0
14,2024-10-13 03:00:00+00:00,29.8,0.2001,W,269,0.8,E,83,5.0,0.08,0.11,E,87,5.0,-6.0,110.0
15,2024-10-13 03:00:00+00:00,15.1,0.0,,,0.81,SSW,201,9.15,0.71,0.0,NNE,16,2.0,50.0,-5.0
16,2024-10-13 03:00:00+00:00,22.63,0.1838,WSW,248,0.75,NNE,31,4.0,0.03,0.0,NNE,30,4.0,40.0,26.0
17,2024-10-13 03:00:00+00:00,25.47,0.3544,ESE,106,1.21,SSW,204,11.0,0.15,0.0,SW,222,5.0,5.0,0.0
18,2024-10-13 03:00:00+00:00,26.9,0.2283,ENE,61,1.11,NE,34,6.0,-0.45,0.01,NNE,29,6.0,25.0,121.0
19,2024-10-13 03:00:00+00:00,21.3,0.0,,,0.11,SW,219,4.0,0.04,0.02,WNW,291,3.0,42.0,12.0
20,2024-10-13 03:00:00+00:00,19.82,0.1414,SE,135,0.44,SE,133,4.0,-0.01,0.0,SE,146,4.0,39.0,117.0
21,2024-10-13 03:00:00+00:00,29.46,0.09,E,90,0.36,SW,228,15.0,-0.14,0.19,SSW,213,4.0,-9.0,125.0
22,2024-10-13 03:00:00+00:00,23.7,0.1487,SW,222,1.1,NE,35,6.0,0.02,0.004,N,8,6.0,38.0,25.0
23,2024-10-13 03:00:00+00:00,29.9,0.48,N,0,1.74,SSW,211,15.0,-0.13,0.06,E,90,3.0,12.0,92.0
24,2024-10-13 03:00:00+00:00,28.33,0.1,N,0,1.6,WSW,255,7.64,0.03,0.01,WSW,256,7.0,6.927,79.955
25,2024-10-13 03:00:00+00:00,30.79,0.05,E,90,0.39,E,97,4.25,0.41,0.05,E,82,5.0,10.333,107.083
26,2024-10-13 03:00:00+00:00,29.78,0.0,,,0.78,SSE,167,13.0,0.05,0.01,SSW,202,6.0,9.0,78.0
